feature,Baruch_2021,Davar_2021,Frankel_2017,Gopalakrishnan_2019,Lee_2022,Matson_2019,Spencer_2021,mean
Megamonas_hypermegale,0.04363181550006256,0.0,0.019161563126745294,0.0,0.007251638798254041,0.02464168731322008,0.0,0.013526672105468854
Proteus_mirabilis,0.0039212706023823984,0.0,0.0,0.05269887566056059,0.00010939734099333674,0.027862144702156307,0.00597882483263225,0.012938644734103555
Weissella_confusa,0.014474862202905923,1.6109178489889933e-05,0.014631652418046261,0.03402708571328021,9.072878011771267e-05,0.014367431476402018,0.0020481822285536946,0.011379435999685102
Coprobacter_sp,0.0,0.0,0.0,0.0,0.000817785339096761,0.042753349505059594,0.032966073905245884,0.010933886964200319
Clostridioides_difficile,0.0,0.0002675970303064279,0.0,0.043453756647836406,0.000673992813779413,0.010126262335895822,0.021005378379250737,0.010789569601009828
Blautia_sp_An249,0.0154390230752628,0.0,0.03721809430102922,0.0,0.0009349529230352996,0.019659919211214842,0.0,0.01046456993007745
Lactobacillus_phage_phiAQ113,0.02116298223355549,0.0005619570722205001,0.0,0.02483139414753448,2.9210094076513974e-05,0.022064618761511657,0.0003164837067204517,0.009852378002231299
Prevotella_buccalis,0.0,0.0009105620769889069,0.026371201353618746,0.03176343432601748,8.318516660767141e-05,0.0036899608128648665,0.002126221715802458,0.00927779506455716
Klebsiella_michiganensis,0.01368088695621276,0.017952885128019697,0.0187102687234622,0.0009927045910654328,0.00019142952495088464,0.0006273003753878832,0.007583249960844308,0.008534103608563309
Campylobacter_gracilis,0.0,0.00034762108249876276,0.00253310899125172,0.0,1.1907852974815997e-05,0.03761779788270237,0.017160071701511997,0.008238643930134237
Eubacterium_dolichum_CAG_375,0.0,0.000562314913255174,0.010993437927865673,0.01290174824927928,0.0002385830587365829,0.0174142421966509,0.014957887749854603,0.008152602013663173
Weissella_cibaria,0.03351698428188213,0.0,0.0020015493122364967,0.007306957110331204,0.00384343662757097,0.007490946706363759,0.00201847164486148,0.008025477954749434
Mogibacterium_timidum,0.03472551306713268,0.0007674219425063074,0.0,0.0,0.012007767293180894,0.00852889793420829,0.0,0.008004228605289739
Campylobacter_ureolyticus,0.0,0.0013053800422903336,0.021082773940614044,0.029026318472455424,0.0,0.0,0.003942567889696425,0.00790814862072232
